for_indicator,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
General Services (Recurrent Expendi in Bil Birr),0.358801,0.496419,0.588885,0.916337,0.83979,0.917218,0.951585,1.101669,1.34632,1.2599,1.24207,1.25537,1.3581,1.71256,2.03108,2.2665,2.00193,1.0606,1.16314,1.353069,1.656917,1.949562,1.920746546,3.188938634,5.764983543,8.378761106,5.554542,5.1340734,5.1851951,5.128599,5.5630738,7.6125101,6.8066133,9.532610946,10.92674371,12.99548479,16.34176692,22.217458,25.1286234,29.990122,37.260763,43.55902383,53.71382097,62.71568297,74.66036201,89.92022293,129.6789019,214.473604
   Organ of the State (General Services),0.014149,0.01022,0.01555,0.0204,0.02544,0.022,0.0262,0.065985,0.0617,0.06507,0.05693,0.06356,0.0752,0.08646,0.0928,0.099,0.0779,0.148,0.09959,0.150775,0.255751,0.343368,0.2437021,0.290021811,0.363708273,0.360394255,0.469508,0.5018097,0.582394,0.635869,0.747974,0.774009,0.970394,1.389371,1.910081,2.471132,2.645135,3.094121,3.776876227,4.484786,6.33809,7.227428526,8.76263116,9.979346817,12.17497923,15.30208056,21.9138335,23.852483
   Justice (General Services),0.0099,0.00934,0.00994,0.0101,0.01037,0.0104,0.0109,0.011034,0.0117,0.01251,0.01296,0.01343,0.0141,0.015,0.0164,0.0193,0.01893,0.0185,0.02536,0.045313,0.058505,0.066676,0.059373562,0.065478496,0.095614581,0.1127649,0.16743,0.3271017,0.351858,0.282494,0.47087,0.4059571,0.71648,0.76801259,0.918646158,0.942407,1.4361892,2.061206,2.453492655,2.935093,4.9518,5.263569911,5.752771353,8.079504122,9.295683652,10.37701911,11.29781742,21.7199183
   Defence (General Services),0.1849,0.31559,0.38315,0.7034,0.62756,0.6957,0.7271,0.8356,1.0623,0.93912,0.92637,0.92936,1.0111,1.34,1.6544,1.8411,1.646,0.634,0.68077,0.662982,0.736558,0.771616,0.864252,1.955490886,4.335603284,6.816258,3.642284,2.891702,2.537829,2.494,2.56041,2.648051,2.563815,3.899426,3.772654638,3.954562,4.618615,6.336764,6.528589,7.0416,8.8143,9.498140814,11.93990333,12.81355474,15.60501177,16.90824068,37.09235347,102.6167
   Public order & security (General Services),0.1106,0.118329,0.128977,0.126182,0.11735,0.123918,0.117685,0.11706,0.12932,0.14936,0.15278,0.15351,0.1593,0.1571,0.1237,0.1575,0.1081,0.0931,0.148,0.212823,0.243972,0.34739,0.350376684,0.412655788,0.457112321,0.4624886,0.530445,0.490168,0.7595751,0.680355,0.704126,1.123045,1.206322,1.682474,2.1052374,2.785358,3.7425028,5.012409,5.447109,6.584043,7.83196,9.248894645,13.37698932,14.17097083,17.2210934,24.17420265,30.33592672,31.8617047
   General services (General Services),0.039252,0.04294,0.051268,0.056255,0.05907,0.0652,0.0697,0.07199,0.0813,0.09384,0.09303,0.09551,0.0984,0.114,0.14378,0.1496,0.151,0.167,0.20942,0.281176,0.362131,0.420512,0.4030422,0.465291653,0.512945084,0.626855351,0.744875,0.923292,0.953539,1.035881,1.0796938,2.661448,1.3496023,1.793327356,2.220124509,2.842025793,3.899324919,5.712958,6.922556515,8.9446,9.324613,12.32098993,13.88152581,17.67230646,20.36359395,23.15867993,29.03897082,34.422798
Economic Services (Recurrent Expendi in Bil Birr),0.069179,0.083303,0.090956,0.101477,0.096827,0.111156,0.11596,0.127986,0.154355,0.138743,0.14385,0.1465,0.1609,0.1974,0.2136,0.229,0.2213,0.24375,0.335435,0.445741,0.567219,0.620528,0.6724376,0.648886666,0.792040549,0.837044854,1.0059899,1.0901339,1.431997,1.43045,1.440299,1.863732,2.147628,2.905283839,3.393545519,4.133270048,5.642677885,7.731276,9.473810474,11.174427,13.87671,23.17319033,23.45150237,26.50326412,31.23338636,36.32312336,42.4976724,50.7111224
   Agriculture (Economic Services),0.01886,0.027123,0.026488,0.031184,0.036732,0.041067,0.04278,0.05015,0.05727,0.061615,0.0668,0.0693,0.0804,0.1071,0.1178,0.1294,0.1214,0.1351,0.17357,0.191552,0.237528,0.317078,0.3590036,0.392211303,0.461370769,0.4706619,0.56096,0.516062,0.730961,0.744397,0.863607,1.242063,1.416783,1.815699972,2.101374872,2.287843576,3.13549,4.413554,5.147317819,5.60329,6.5048,13.40654073,9.962332934,12.21441898,15.39757497,17.89526535,21.85026297,23.281796
   Natural Resourse (Economic Services),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058619,0.09943,0.061492,0.0596701,0.055136923,0.059009161,0.0721684,0.095572,0.191102,0.117948,0.243886,0.146104,0.149504,0.177289,0.260871868,0.272929118,0.522926545,0.634101885,0.922225,1.160311137,1.621484,2.6002,3.21239351,3.84061723,4.338973962,4.784940695,5.303470174,5.051205837,7.779259
     Water Supply (Economic Services),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016741,0.0253,0.0227,0.017893,0.026511,0,0.08828,0.056173,0.053627,0.107724,0.0919019,0.135145268,0.159815118,0.212140545,0.501908085,0.801336,0.46107422,1.082397,2.0769,3.02010351,3.42347423,3.390350962,3.746050695,4.753441174,4.993755837,5.677144
     Irrigation Development (Economic Services),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012241,0.012404,0.008859,0.013831,0.0324971,0.0316456,0.009086,0.025997,0.053712,0.067071,0.123279,0.255146,0.335581,0.43119,0.56817,0,0,0,0,0
